fecha;defunciones_notificadas;defunciones_observadas;defunciones_estimadas_base;exceso_todas_causas;atribuibles_temperatura
2026-04;21210;25006;24005;1001;34
2026-03;38179;38240;39027;-786;52
2026-02;36791;36790;37433;-643;50
2026-01;46970;46970;42900;4069;877
2025-12;43987;43986;41423;2563;278
2025-11;36456;36456;36414;42;137
2025-10;35329;35328;34378;950;11
2025-09;32517;32517;32275;243;174
2025-08;35891;35891;33762;2130;2184
2025-07;35923;35923;34263;1660;1060
2025-06;35083;35082;33442;1640;407
2025-05;35780;35780;35248;531;14
2025-04;36173;36173;35531;641;11
2025-03;38655;38654;38883;-229;107
2025-02;37672;37672;37289;382;323
2025-01;46397;46397;42670;3727;1333
2024-12;39554;39554;42038;-2484;521
2024-11;34706;34703;36895;-2192;10
2024-10;34874;34874;34776;98;25
2024-09;31398;31397;32591;-1194;33
2024-08;34852;34850;34049;801;1271
2024-07;35323;35322;34554;768;674
2024-06;33696;33695;33765;-70;32
2024-05;35592;35592;35651;-59;11
2024-04;35181;35181;35995;-814;45
2024-03;38102;38102;39420;-1318;82
2024-02;35881;35881;39159;-3278;98
2024-01;48986;48986;43162;5824;719
2023-12;41762;41762;43541;-1779;585
2023-11;35120;35120;37956;-2836;51
2023-10;34067;34066;35608;-1542;204
2023-09;32152;32152;33340;-1187;186
2023-08;35448;35448;34869;579;1990
2023-07;33618;33618;35404;-1786;686
2023-06;32784;32784;34599;-1816;142
2023-05;33844;33844;36606;-2761;32
2023-04;34794;34794;37125;-2330;89
2023-03;40168;40168;40819;-650;910
2023-02;39858;39858;39135;723;2142
2023-01;44056;44056;44561;-505;765
2022-12;42575;42575;41286;1289;53
2022-11;35729;35729;36202;-473;5
2022-10;35537;35537;34065;1472;0
2022-09;32522;32522;31755;767;79
2022-08;38582;38582;32974;5609;1607
2022-07;44797;44797;33378;11419;2217
2022-06;37163;37163;32709;4454;828
2022-05;38146;38146;34797;3349;57
2022-04;36972;36972;35477;1496;73
2022-03;38216;38216;39116;-899;44
2022-02;39064;39064;37474;1590;216
2022-01;47298;47298;42597;4701;695
2021-12;42377;42377;40198;2179;29
2021-11;37079;37079;35398;1681;4
2021-10;34722;34722;33385;1337;0
2021-09;32952;32952;31032;1920;48
2021-08;38197;38197;32105;6092;778
2021-07;35310;35310;32555;2755;560
2021-06;32498;32498;32110;388;40
2021-05;34206;34206;34330;-124;2
2021-04;34648;34648;34992;-343;9
2021-03;36999;36999;38436;-1437;47
2021-02;40781;40781;36656;4124;23
2021-01;52285;52285;41545;10739;2010
2020-12;42269;42269;40370;1899;17
2020-11;42921;42921;35574;7347;19
2020-10;40246;40246;33539;6707;10
2020-09;35038;35038;31136;3903;96
2020-08;36253;36253;32173;4080;840
2020-07;34971;34971;32619;2352;578
2020-06;30962;30962;32188;-1226;54
2020-05;35348;35348;34400;948;25
2020-04;60820;60820;35002;25817;24
2020-03;58755;58755;38383;20372;10
2020-02;36905;36905;37932;-1026;116
2020-01;43571;43571;41521;2050;363
2019-12;37383;37383;40967;-3585;0
2019-11;35260;35260;36018;-758;0
2019-10;33259;33259;33923;-663;0
2019-09;30308;30308;31498;-1190;25
2019-08;31965;31965;32556;-591;302
2019-07;33874;33874;32968;905;1087
2019-06;32212;32212;32462;-250;203
2019-05;34386;34386;34643;-257;2
2019-04;34771;34771;35250;-479;13
2019-03;37609;37609;38652;-1043;62
2019-02;38239;38239;36793;1446;192
2019-01;45217;45217;41616;3601;1138
2018-12;37534;37534;40380;-2846;42
2018-11;34789;34789;35614;-826;26
2018-10;33263;33263;33590;-328;12
2018-09;30613;30613;31149;-536;85
2018-08;33405;33405;32127;1278;1307
2018-07;32489;32489;32529;-40;125
2018-06;32286;32286;32070;216;111
2018-05;33800;33800;34213;-412;0
2018-04;35457;35457;34707;750;4
2018-03;40213;40213;37930;2283;273
2018-02;40243;40243;36067;4176;893
2018-01;48487;48487;40853;7634;215
2017-12;42119;42119;39626;2492;592
2017-11;34604;34604;35017;-413;52
2017-10;33086;33086;33140;-54;57
2017-09;30378;30378;30824;-446;42
2017-08;32575;32575;31837;738;976
2017-07;32184;32184;32208;-24;791
2017-06;32569;32569;31687;882;1000
2017-05;34173;34173;33776;397;56
2017-04;33574;33574;34302;-728;10
2017-03;36187;36187;37512;-1325;60
2017-02;37803;37803;35601;2202;77
2017-01;49953;49953;40200;9753;1478
2016-12;39699;39699;38716;983;119
2016-11;34114;34114;34134;-19;47
2016-10;32408;32408;32224;184;3
2016-09;30336;30336;29936;400;621
2016-08;32309;32309;30914;1395;687
2016-07;33233;33233;31278;1956;881
2016-06;31861;31861;30783;1078;70
2016-05;33364;33364;32853;511;2
2016-04;34186;34186;33448;738;24
2016-03;38653;38653;36698;1955;176
2016-02;35965;35965;36211;-246;441
2016-01;38870;38870;39535;-665;194
2015-12;36858;36858;36699;159;12
2015-11;32754;32754;32550;204;5
2015-10;32249;32249;30886;1363;7
2015-09;29112;29112;28739;374;63
2015-08;31382;31382;29668;1714;462
2015-07;35789;35789;30037;5751;1797
2015-06;31361;31361;29613;1748;164
2015-05;33042;33042;31615;1426;98
2015-04;34044;34044;32126;1919;5
2015-03;39410;39410;35143;4267;16
2015-02;42903;42903;33385;9518;152
2015-01;47856;47856;37777;10079;270
